altitude,azimuth,efficiency
6.00,70.00,14.34
6.00,72.00,14.39
6.00,74.00,14.43
6.00,76.00,14.48
6.00,78.00,14.52
6.00,80.00,14.61
6.00,82.00,13.25
6.00,84.00,12.32
6.00,86.00,11.85
6.00,88.00,11.95
6.00,90.00,12.06
6.00,92.00,12.17
6.00,94.00,12.28
6.00,96.00,12.39
6.00,98.00,12.50
6.00,100.00,13.93
6.00,102.00,14.10
6.00,104.00,13.31
6.00,106.00,10.87
6.00,108.00,10.29
6.00,110.00,11.92
6.00,112.00,13.23
6.00,114.00,12.88
6.00,116.00,10.51
6.00,118.00,8.45
6.00,120.00,7.09
6.00,122.00,7.12
6.00,124.00,8.52
6.00,126.00,10.19
6.00,128.00,9.20
6.00,130.00,7.16
6.00,132.00,5.14
6.00,134.00,5.15
6.00,136.00,5.16
6.00,138.00,5.17
6.00,140.00,5.18
6.00,142.00,5.19
6.00,144.00,5.19
6.00,146.00,5.20
6.00,148.00,5.21
6.00,150.00,5.22
6.00,152.00,5.23
6.00,154.00,5.24
6.00,156.00,5.25
6.00,158.00,5.26
6.00,160.00,5.27
6.00,162.00,5.27
6.00,164.00,5.28
6.00,166.00,5.29
6.00,168.00,5.30
6.00,178.00,5.32
6.00,180.00,5.34
6.00,182.00,5.36
6.00,184.00,5.37
6.00,186.00,5.38
6.00,188.00,5.39
6.00,190.00,5.40
6.00,192.00,5.41
6.00,196.00,5.42
6.00,198.00,5.43
6.00,200.00,5.44
6.00,202.00,5.45
6.00,204.00,5.46
6.00,206.00,5.47
6.00,208.00,5.48
6.00,210.00,5.49
6.00,212.00,5.50
6.00,214.00,5.50
6.00,216.00,5.51
6.00,218.00,5.52
6.00,220.00,5.53
6.00,222.00,5.54
6.00,224.00,5.55
6.00,226.00,5.56
6.00,228.00,5.57
6.00,230.00,5.57
6.00,232.00,5.58
6.00,234.00,5.59
6.00,236.00,4.15
6.00,238.00,2.50
6.00,240.00,1.07
6.00,242.00,1.93
6.00,244.00,3.17
6.00,246.00,3.22
6.00,248.00,2.36
6.00,250.00,1.26
6.00,252.00,1.76
6.00,254.00,2.40
6.00,256.00,3.67
6.00,258.00,4.62
6.00,260.00,4.56
6.00,262.00,3.44
6.00,264.00,1.94
6.00,266.00,1.32
6.00,268.00,1.12
6.00,270.00,0.98
6.00,272.00,0.82
6.00,274.00,0.66
6.00,276.00,0.50
6.00,278.00,0.34
6.00,280.00,0.19
6.00,282.00,0.03
6.00,284.00,0.44
6.00,286.00,0.97
6.00,288.00,2.37
6.00,290.00,3.55
8.00,70.00,20.29
8.00,72.00,19.63
8.00,74.00,18.96
8.00,76.00,18.30
8.00,78.00,17.75
8.00,80.00,17.32
8.00,82.00,15.98
8.00,84.00,15.07
8.00,86.00,14.61
8.00,88.00,14.74
8.00,90.00,14.87
8.00,92.00,15.00
8.00,94.00,15.13
8.00,96.00,15.25
8.00,98.00,15.38
8.00,100.00,16.17
8.00,102.00,16.03
8.00,104.00,15.27
8.00,106.00,13.83
8.00,108.00,13.78
8.00,110.00,15.15
8.00,112.00,16.17
8.00,114.00,15.96
8.00,116.00,14.49
8.00,118.00,13.33
8.00,120.00,12.87
8.00,122.00,13.33
8.00,124.00,14.47
8.00,126.00,15.75
8.00,128.00,15.54
8.00,130.00,14.67
8.00,132.00,13.66
8.00,134.00,13.66
8.00,136.00,13.66
8.00,138.00,13.66
8.00,140.00,13.67
8.00,142.00,13.67
8.00,144.00,13.67
8.00,146.00,13.67
8.00,148.00,13.68
8.00,150.00,13.68
8.00,152.00,13.68
8.00,154.00,13.68
